importance,name
1156,time_diff_last_expose_this_cate
1051,user_till_now_cnt
897,time_diff_last_query
779,hour_cnvt_rate
525,user_id_item_property_cnt
468,item_timezone_cnt_ratio
450,user_id_context_page_id_std
434,user_id_shop_score_description_std
409,item_hour_cnt_ratio
382,user_id_shop_score_delivery_std
381,item_id_user_star_level_skew
378,user_id_shop_score_delivery_max
373,user_id_item_id_cnt
367,user_id_shop_score_service_std
361,item_property_smooth_max
355,shop_id_smooth
346,item_property_smooth_min
341,user_id_item_pv_level_std
337,user_id_instance_id_cnt
332,user_id_shop_score_service_skew
330,item_id_smooth
326,category_till_now_cnt
325,user_id_item_sales_level_std
325,item_id_user_star_level_std
323,user_id_shop_score_service_max
320,user_id_item_collected_level_std
320,item_property_smooth_mean
312,user_id_item_collected_level_skew
308,user_id_shop_review_num_level_skew
306,user_id_shop_review_num_level_std
296,user_id_item_sales_level_skew
295,user_id_shop_score_description_max
292,prop_till_now_cnt_median
291,user_age_level_rate
288,user_id_context_page_id_mean
287,item_id_user_age_level_std
285,shop_id_user_star_level_skew
282,user_id_shop_score_delivery_skew
280,user_id_shop_review_positive_rate_std
279,user_id_shop_review_positive_rate_skew
277,user_id_shop_star_level_std
276,item_id_shop_score_description_skew
273,item_id_shop_score_delivery_skew
261,user_id_shop_star_level_skew
260,item_brand_id_smooth
257,item_id_context_page_id_skew
255,prop_till_now_cnt_mean
255,shop_id_item_sales_level_mean
253,item_id_shop_score_service_skew
253,item_id_shop_score_description_std
252,item_property_smooth_median
252,user_id_shop_score_description_skew
252,item_id_shop_score_delivery_std
251,user_id_item_pv_level_skew
251,item_id_context_page_id_std
250,user_id_item_price_level_std
247,item_id_rate
244,user_id_context_page_id_max
241,item_id_item_property_cnt
238,prop_till_now_cnt_max
232,shop_id_user_age_level_std
230,shop_id_user_star_level_std
227,user_id_item_sales_level_min
227,item_id_user_age_level_mean
222,item_sales_level_rate
221,hour_cnvt_1
220,user_id_context_page_id_skew
220,shop_id_rate
220,shop_id_user_star_level_mean
219,shop_id_item_collected_level_std
218,item_id_user_star_level_mean
213,user_id_shop_score_service_min
212,user_id_shop_score_description_min
212,item_id_user_age_level_skew
211,shop_id_item_price_level_mean
211,shop_id_item_sales_level_skew
210,user_id_item_collected_level_mean
209,user_star_level_rate
209,shop_id_item_sales_level_std
203,user_id_shop_score_delivery_median
201,shop_id_context_page_id_skew
198,shop_id_item_pv_level_std
192,item_id_shop_score_service_std
192,shop_id_item_pv_level_skew
191,user_id_item_price_level_skew
191,user_id_shop_score_delivery_min
191,user_id_item_sales_level_mean
189,user_id_shop_score_service_mean
189,shop_id_item_collected_level_skew
188,shop_id_user_age_level_skew
188,item_timezone_cnt
187,shop_id_item_property_cnt
186,brand_till_now_cnt
185,user_id_shop_id_cnt
183,user_id_shop_score_description_median
182,user_age_level_item_category_1_all
182,item_brand_id_shop_score_delivery_skew
179,shop_till_now_cnt
173,shop_id_user_gender_id_all
168,user_id_shop_score_description_mean
167,shop_id_user_age_level_mean
167,item_hour_cnt
166,user_id_shop_score_service_median
165,how_many_hour_cnt
164,shop_id_context_page_id_std
161,user_id_item_price_level_mean
160,item_id_context_page_id_mean
